                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     61,                0.95216,                0.69585,                0.87259,                0.99689,                0.66666,                0.85767,                0.82993,                0.84878,                0.90705,                0.69558,                0.83501,                 0.5912,                0.84748,                0.83366,                0.46287,                0.82682,              0.0070795,              0.0070795,              0.0070795
                     62,                0.93914,                0.68374,                0.87696,                0.99017,                0.64512,                0.86303,                0.79812,                0.80076,                0.88406,                0.65004,                0.85553,                0.65789,                0.85145,                0.86057,                 0.5035,                0.83379,                0.00703,                0.00703,                0.00703
                     63,                0.96602,                0.68313,                0.87369,                 1.0264,                0.66801,                0.85984,                0.86274,                0.84071,                0.91507,                0.70416,                0.78755,                0.56312,                0.83736,                0.79518,                0.44162,                0.81888,              0.0069805,              0.0069805,              0.0069805
                     64,                0.94428,                 0.6665,                0.87166,                0.97658,                0.63385,                 0.8596,                0.80915,                0.89404,                0.91462,                0.73179,                0.76669,                 0.5483,                0.83649,                0.77688,                0.42632,                0.81924,               0.006931,               0.006931,               0.006931
                     65,                0.91666,                0.65472,                0.86073,                0.96774,                0.62883,                0.85097,                0.83646,                0.88725,                0.92872,                0.70626,                0.85162,                0.56964,                0.84592,                0.87826,                0.44828,                 0.8287,              0.0068815,              0.0068815,              0.0068815
                     66,                0.90576,                0.63141,                0.86638,                 0.9812,                0.59547,                0.85615,                 0.9026,                0.86748,                0.93091,                0.72227,                0.82436,                0.55464,                0.83985,                0.81505,                0.41667,                0.82009,               0.006832,               0.006832,               0.006832
                     67,                0.89244,                0.62674,                0.86383,                 0.9574,                0.57682,                0.85375,                0.86195,                0.84633,                0.93449,                0.74434,                0.77558,                0.56038,                0.83972,                0.77882,                0.42337,                0.82298,              0.0067825,              0.0067825,              0.0067825
                     68,                0.91048,                0.64049,                0.86544,                0.96921,                0.60398,                0.85158,                0.86081,                0.86582,                0.92152,                0.72663,                0.78068,                0.54004,                0.83642,                0.79022,                0.41403,                0.81859,               0.006733,               0.006733,               0.006733
                     69,                0.92504,                 0.6469,                0.85693,                0.98179,                 0.6113,                0.84795,                0.89477,                0.84874,                0.93645,                0.74188,                0.75014,                 0.5265,                0.83413,                0.76798,                0.40188,                 0.8168,              0.0066835,              0.0066835,              0.0066835
                     70,                0.91541,                0.64581,                0.86573,                0.99584,                 0.6094,                0.85616,                 0.8586,                0.89929,                0.92641,                0.74556,                0.77261,                0.53142,                0.83564,                0.76025,                0.39874,                0.81887,               0.006634,               0.006634,               0.006634
                     71,                0.87667,                0.63128,                0.86131,                0.93275,                0.58141,                0.85108,                0.85275,                0.80235,                 0.9074,                0.71668,                0.78245,                0.56856,                0.83955,                0.75693,                0.43554,                0.82308,              0.0065845,              0.0065845,              0.0065845
                     72,                0.90785,                0.63386,                0.85595,                0.96656,                0.59188,                0.84506,                0.90815,                0.87426,                   0.94,                0.75443,                0.71349,                0.50554,                0.82883,                0.70661,                0.38702,                0.81203,               0.006535,               0.006535,               0.006535
                     73,                0.87399,                0.60728,                0.85194,                0.93853,                0.56711,                0.84517,                 0.8834,                0.84641,                0.89935,                0.70303,                0.75163,                0.54046,                0.83214,                0.76269,                0.41504,                 0.8122,              0.0064855,              0.0064855,              0.0064855
                     74,                0.87122,                0.60277,                0.85813,                0.94283,                0.56168,                 0.8514,                 0.8929,                0.88434,                0.94311,                0.76973,                0.70549,                0.49256,                0.83136,                0.74148,                0.36229,                0.81583,               0.006436,               0.006436,               0.006436
                     75,                0.87034,                0.60646,                0.85217,                0.93726,                0.56457,                0.84477,                0.87437,                0.86956,                0.94229,                0.76231,                0.73071,                0.50513,                0.83365,                0.73768,                0.37864,                0.81776,              0.0063865,              0.0063865,              0.0063865
                     76,                0.87617,                0.64023,                0.85431,                0.92891,                0.58718,                0.84739,                0.91205,                0.87407,                 0.9552,                0.76916,                0.70749,                0.49911,                 0.8276,                0.74162,                0.37288,                0.81879,               0.006337,               0.006337,               0.006337
                     77,                0.87131,                0.60904,                0.84638,                0.93018,                0.56791,                0.83982,                0.69672,                0.77598,                0.83769,                0.63945,                0.85676,                0.74753,                0.84668,                0.87093,                0.61981,                0.83575,              0.0062875,              0.0062875,              0.0062875
                     78,                0.85403,                0.59889,                0.84758,                0.92251,                0.55636,                0.83997,                0.84996,                0.89949,                0.93981,                0.75123,                0.74689,                0.50312,                0.83086,                0.74593,                0.37761,                0.81491,               0.006238,               0.006238,               0.006238
                     79,                0.86051,                0.60605,                0.85526,                0.91481,                0.56695,                0.84469,                0.88171,                0.87725,                0.94466,                 0.7439,                0.71464,                  0.501,                0.82683,                0.74215,                0.38428,                0.81332,              0.0061885,              0.0061885,              0.0061885
                     80,                0.86087,                0.60711,                0.84438,                 0.8967,                0.54332,                0.83445,                0.92071,                0.89355,                0.95699,                 0.7951,                0.68158,                0.48007,                0.82418,                0.68461,                 0.3495,                0.81063,               0.006139,               0.006139,               0.006139
                     81,                 0.8346,                0.59665,                0.85509,                0.89596,                0.55853,                0.85157,                0.93494,                0.84199,                0.95486,                 0.7733,                0.69398,                0.48346,                0.82531,                0.70156,                0.35921,                0.81204,              0.0060895,              0.0060895,              0.0060895
                     82,                0.85822,                0.58977,                0.84734,                0.90439,                0.54648,                0.83652,                0.91159,                0.83456,                0.91814,                0.73652,                0.72066,                0.49848,                0.82437,                0.72387,                0.36995,                0.80884,                0.00604,                0.00604,                0.00604
                     83,                 0.8367,                0.58829,                0.84833,                0.89638,                0.52997,                0.84121,                0.93471,                0.86036,                0.95927,                0.79827,                0.68616,                0.46994,                 0.8227,                0.69833,                0.33204,                0.80923,              0.0059905,              0.0059905,              0.0059905
                     84,                0.83915,                0.58398,                 0.8477,                0.89826,                0.53335,                0.83666,                0.88159,                0.87756,                0.94258,                0.76289,                0.72841,                  0.505,                0.82348,                0.75819,                0.37408,                0.80688,               0.005941,               0.005941,               0.005941
                     85,                0.84089,                0.59387,                0.84197,                0.91133,                0.55225,                0.83078,                0.93565,                0.81137,                0.92559,                0.74651,                0.70818,                0.48645,                0.82339,                0.72768,                0.35345,                0.80869,              0.0058915,              0.0058915,              0.0058915
                     86,                0.83002,                0.59415,                0.83887,                0.87671,                0.53322,                0.83109,                0.93918,                 0.8898,                0.95464,                0.79676,                0.67891,                0.46642,                0.82084,                0.69487,                0.33342,                0.80958,               0.005842,               0.005842,               0.005842
                     87,                0.83081,                0.57192,                0.83894,                0.88506,                0.51104,                0.83418,                0.87838,                 0.8554,                0.92655,                0.73913,                0.72899,                0.49192,                0.82463,                0.73666,                0.36984,                0.81417,              0.0057925,              0.0057925,              0.0057925
                     88,                0.80724,                 0.5612,                 0.8431,                0.86397,                 0.5073,                0.83391,                0.91651,                0.86873,                0.93579,                0.75072,                0.70403,                0.48295,                0.81801,                0.73221,                0.34972,                0.80753,               0.005743,               0.005743,               0.005743
                     89,                0.81292,                0.56509,                0.84788,                0.88321,                0.50988,                0.84272,                0.86501,                0.88088,                0.94318,                0.76483,                0.73918,                0.50256,                0.82702,                 0.7556,                 0.3814,                0.81338,              0.0056935,              0.0056935,              0.0056935
                     90,                0.85005,                0.57491,                0.83669,                0.91059,                0.51704,                0.83163,                0.88063,                0.81646,                0.91028,                 0.7305,                0.71385,                0.54325,                0.82192,                0.71879,                  0.422,                0.81209,               0.005644,               0.005644,               0.005644
                     91,                 0.8131,                0.54864,                0.84627,                0.87514,                0.49505,                0.84271,                0.92458,                 0.8337,                0.93867,                0.76883,                0.69786,                0.47423,                0.82167,                0.70294,                0.35494,                0.81086,              0.0055945,              0.0055945,              0.0055945
                     92,                0.81259,                0.54874,                0.83831,                0.87293,                0.50382,                0.83478,                0.93281,                 0.8792,                0.95304,                0.77775,                0.69672,                0.45261,                0.82122,                0.69562,                0.33261,                0.81115,               0.005545,               0.005545,               0.005545
                     93,                0.80683,                0.55383,                0.84132,                0.86527,                0.49459,                0.83645,                0.81673,                0.87881,                0.92377,                0.73772,                 0.7256,                0.49105,                0.82233,                0.72631,                0.36547,                0.81097,              0.0054955,              0.0054955,              0.0054955
                     94,                0.79525,                0.56456,                 0.8387,                0.85595,                0.49635,                 0.8324,                 0.8582,                 0.9316,                0.95888,                0.78564,                0.69426,                0.45406,                0.81722,                0.72047,                0.32683,                 0.8061,               0.005446,               0.005446,               0.005446
                     95,                0.80212,                0.56042,                0.83275,                0.88287,                0.51186,                0.82852,                0.95249,                0.85009,                0.94722,                0.77587,                0.67269,                0.44973,                0.81737,                0.69235,                 0.3225,                0.80402,              0.0053965,              0.0053965,              0.0053965
                     96,                0.81817,                0.54792,                0.83082,                0.87253,                0.49715,                0.82487,                0.91782,                0.91936,                0.96702,                0.79346,                0.68618,                0.44979,                0.81656,                0.68631,                0.31136,                0.80264,               0.005347,               0.005347,               0.005347
                     97,                0.79929,                0.55369,                0.82954,                0.85646,                0.48924,                0.82501,                0.91328,                0.91904,                0.97321,                0.80809,                0.67833,                0.44585,                0.81513,                0.70168,                0.31574,                0.80329,              0.0052975,              0.0052975,              0.0052975
                     98,                0.80885,                0.54652,                0.84022,                0.89761,                0.50687,                0.83582,                0.93283,                 0.8838,                 0.9559,                0.77799,                0.72231,                0.46922,                0.81716,                0.73078,                0.32492,                0.80346,               0.005248,               0.005248,               0.005248
                     99,                0.79384,                0.55355,                0.83344,                 0.8574,                0.50265,                0.82657,                0.92911,                0.92257,                0.96978,                0.79446,                0.66062,                 0.4436,                0.81465,                 0.6947,                0.31319,                0.80234,              0.0051985,              0.0051985,              0.0051985
                    100,                 0.7797,                0.54156,                0.83307,                0.84062,                0.46131,                0.83121,                0.89891,                0.89774,                0.95772,                0.80334,                0.66485,                0.43554,                0.81744,                0.68265,                0.30884,                 0.8079,               0.005149,               0.005149,               0.005149
                    101,                0.78377,                0.53591,                0.83625,                0.83906,                0.47002,                 0.8349,                0.94256,                0.87772,                 0.9567,                0.79573,                0.68247,                 0.4438,                0.81482,                0.68309,                0.30336,                0.80255,              0.0050995,              0.0050995,              0.0050995
                    102,                0.78255,                0.53416,                0.83185,                0.84307,                0.47164,                0.82723,                0.96927,                0.87351,                0.96789,                0.80287,                0.65178,                0.43379,                  0.814,                0.66031,                0.29364,                0.80272,                0.00505,                0.00505,                0.00505
                    103,                0.77718,                0.54962,                0.83651,                0.82424,                0.47141,                 0.8341,                0.94326,                0.95403,                0.97874,                0.81678,                0.67728,                0.44735,                0.81512,                0.66725,                0.29087,                0.80233,              0.0050005,              0.0050005,              0.0050005
                    104,                0.79385,                0.55037,                0.83596,                0.85483,                0.50139,                0.83327,                0.93574,                0.92192,                 0.9689,                0.79531,                0.65216,                0.43847,                0.81127,                0.66604,                0.29657,                0.80062,               0.004951,               0.004951,               0.004951
                    105,                0.77819,                0.53184,                0.83053,                0.83056,                0.46776,                0.82629,                0.95191,                0.90266,                0.96666,                0.80137,                0.66096,                0.42903,                0.81346,                0.66979,                0.29205,                0.80231,              0.0049015,              0.0049015,              0.0049015
